Japanese,English
これ,"this, this one (things in range of speaker's hand)"
美味しい,tasty
レコード,record
どんどん,sound of knocking
プラスチック,plastic
セーター,"sweater, pullover"
メニュー,"menu, bill of fare"
グラス,glass
パトカー,"police car, patrol car"
みかん,"tangerine, mandarin orange"
ナイロン,nylon
ソース,"sauce, Worcestershire sauce"
ベルト,belt
フォーク,fork
どうぞ,"please, kindly, by all means"
ハム,ham
スリッパ,slippers
よろしい,"all right, high quality, high value, healthy, beneficial"
こぼす,spill (something)
セロテープ,"cellophane tape, Scotch tape, Sellotape"
アイスコーヒー,iced coffee
かえって,"on the contrary, rather"
ストップ,stop
サイン,"signature, autograph"
スライド,slide
おばさん,middle-aged woman
さぞ,"no doubt, must"
くだらない,"worthless, trifling"
しわ,wrinkle
どく,move out of the way
ダウン,"down, malfunction"
たっぷり,"fully, amply"
まあ,well
ホット,hot
まし,"more, better"
ぬるぬる,slimy
ぴょんぴょん,"jump, hop"
マヨネーズ,mayonnaise
つかまる,"hold on to (something), get caught / arrested / trapped, catch (a taxi)"
フルーツ,fruit
へそ,"the navel, the bellybutton"
べたべた,stick together
めでたい,"happy, fortunate"
テニス,tennis
いかにも,"indeed, as if"
ジーパン,jeans
あぐら,sit cross legged
あだ名,nickname
いつの間に,"what time, when, without noticing/realizing"
プロ,"pro, professional"
パイロット,pilot
にやにや,grin to oneself
のんき,"carefree, easy-going"
めくる,turn over
ゲーム,game
アナウンサー,"news reader, announcer"
ぺこぺこ,"hungry, starving"
シャープペンシル,mechanical pencil
彼女,"she, one's girlfriend"
もらう,receive
しゃべる,"chat, talk"
スカート,skirt
スチュワーデス,flight attendant
にこにこ,smile (mimetic word)
アイロン,iron
イヤリング,earrings
スタイル,style
かかる,"catch (a cold, etc.), come down with"
女らしい,womanly; ladylike; feminine​
ユーモア,humor
にっこり,"smiling, grinning"
にらむ,"glare, stare"
ほほえむ,smile
あんなに,"such (adj), that (adj) (describe things that are far away)"
メンバー,member
よす,"quit, stop"
ロマンチック,romantic
大人,adult
ファン,"fan, lover"
大人しい,"gentle, quiet, subdued"
今まで,"until now, so far"
ごみ,"rubbish, trash"
おやつ,"snack, refreshment"
バス,bus
あちら,way over there
ピクニック,picnic
私,I (general)
事,"thing, incident"
携帯電話,cellular phone
いずれ,"eventually, sometime"
どきどき,"feel excited, feel nervous"
見つかる,"be found, be caught"
パスポート,passport
ようやく,"at last, at length"
テレビ,television
じろじろ,stare
以外,except for
アルバム,album
見事,"splendid, admirable"
生やす,"grow (a beard, hair etc.)"
クリーニング,"cleaning, laundry"
日の出,sunrise
アイデア,idea
コマーシャル,"commercial, advertising"
タレント,"celebrity, talent"
出会う,"to meet (by chance), to come across"
ハンカチ,handkerchief
火傷,"burn, hurt by object with high temperature"
ボーナス,bonus
ボリューム,volume
おだてる,flatter
年上,"older, senior"
あげる,give
ここ,here
とても,very
あなた,you
ようこそ,welcome
本日,today (polite)
見本,"sample, model"
おしゃれ,"dressing up smartly, trendy"
女子,"(mostly)young girl, women"
一つ,one (thing)
りんご,apple
一人,"one person, alone"
学年,"school year, grade"
本物,"real thing, genuine article, real deal"
なぜ,"why, for what reason"
いつでも,"always, at all times"
わざわざ,go to a lot of trouble
やって来る,"come, turn up"
せっかく,"with much trouble, specially"
いつ,"what time, when"
バイト,part-time job
スター,star
きっちり,exactly
家,"house, home"
出来上がる,"be completed, be finished"
物,"thing, object"
ノック,knock
コンクリート,concrete
ガソリン,gasoline
バック,"back, reverse"
スイッチ,switch
クリスマス,Christmas
バター,butter
サラダ,salad
スプーン,spoon
デザート,dessert
おごる,treat
それ,"that, that one"
ゆっくり,slowly
シリーズ,series
おかしい,"funny, amusing, comical"
つまらない,"boring, dull"
オーバー,exaggerate
大げさ,exaggerate
やたらに,"frequently, persistently"
ただ,"free of charge, ordinary, unaffected"
人気,"popularity, temperament of the people, business conditions"
カーブ,"curve, bend"
ひく,to run somebody over (with a vehicle)
話し合い,"talk, discussion"
話し合う,"discuss, talk over"
分,"amount, part, share"
なるほど,"I see, really"
今に,"before long, someday"
大分,"very, considerably, greatly"
手,hand
時間,"time, hour"
どうせ,anyway
この間,"the other day, specific day(s) in the recent past"
又,"again, also, or"
行う,"do, carry out"
来月,next month
コート,sports court
新年,New Year
ぴかぴか,"new, shiny"
新しい,new
新人,"newcomer, freshman"
そば,"side, vicinity"
大,"bigness, large size"
こっち,"here, direction of speaker (colloquial)"
長さ,length
地下,underground
電話,"telephone, phone call"
つながる,"connect, join"
つける,"switch on, turn on"
まま,"as is, still (in the current state)"
電気,"electricity, electric light"
上り,"going up, ascent"
ホーム,platform
切れる,"run out, expire, can cut"
パイナップル,pineapple
ナイフ,knife
チーズ,cheese
生き物,living creature
どれ,"what, which one"
あんまり,"(not) that much, (not) so much"
いたずら,"mischief, prank"
好き,"favorite, liked"
ぶどう,grapes
オレンジ,orange
トマト,tomato
天ぷら,"tempura, Japanese deep-fried breaded food"
海老,"lobster, shrimp"
ドラマ,"drama, theater, soap opera"
チキン,"chicken, fried chicken"
ダンス,"dance, dancing"
サボる,"blow off, play truant"
今日,today
見つける,find
でこぼこ,"unevenness, bumpiness"
通り,"passage, street"
通う,"go to and from, frequent a place"
おっしゃる,say (honorable)
見通し,"perspective, prospect"
通行,"passage, traffic"
地下道,"underpass, underground passage"
電車,train
上がる,"get nervous, get stage fright"
ラケット,racket
インク,ink
コーナー,corner
テーブル,table
コンピューター,computer
まとまる,be collected
分かれる,"be divided, disperse, branch off"
好意,"favor, affection"
もっとも,quite right
